,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
5592,2900,COc1ccc(CN2CC\C(=C/C[C@](C)(C(=O)OC2=O)c3ccccc3)c4cccc(OC)c4)cc1,1,30.62,1,0.14,10.1002/anie.202005313,IE
5593,2901,FC(F)(F)C[C@]1(CC2(CCCC2)CN1C(=O)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4,1,27.25,0.2,0.03,10.1021/jacs.6b04077,OD3
5595,2902,O=C(O[C@H](CCCCC#N)\C=C\c1ccccc1)c2ccc3ccccc3c2,1,16.76,1,0.3,10.1002/anie.202110084,AZ
5599,2904,CC1(C)CN(C(=O)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)[C@](CC(F)(F)F)(C1)c3ccccc3,1,30.7,0.2,0.03,10.1038/ncomms14841,OD3
5600,2905,Cc1cccc(C[C@H]2CCCOC2=O)c1,1,38.7,1,0.05,10.1039/C9OB02536G,OJH
5602,2906,Brc1ccc(cc1)C(=O)O[C@H](CCCC#N)\C=C\c2ccccc2,1,25.08,1,0.1,10.1021/jacs.1c06535,AZ
5605,2907,CCOC(=O)C1(CC=C[C@H]1c2ccccc2)C(=O)OCC,1,30.732,0.5,0.05,10.1039/C3CC49488H,ODH
5606,2908,O=C(C[C@H](\C=C\c1ccccc1)c2ccccc2)c3ccccc3,1,24.377,0.5,0.05,10.1039/C3CC49488H,ODH
5608,2909,[CH2]=[C]=[C]([C@H](CCN1C(=O)c2ccccc2C1=O)C#C)C(=O)OCc3ccccc3,1,39.48,1,0.1,10.1021/jacs.7b08207,AD
5611,2910,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,1,30.8,0.7,0.15,10.6023/A18100413,OZ3
5612,2911,CSc1cccc(c1)C(=O)O[C@H](CCCC#N)\C=C\c2ccccc2,1,22.63,2,0.1,10.1021/jacs.1c06535,AZ
5617,2913,COc1ccc(cc1)[C@H](CCO)C[N+]([O-])=O,1,30.82,1,0.1,10.1002/adsc.201500582,ODH
5618,2914,COc1ccc(cc1)N2[C@H](c3ccccc3C=C2c4ccccc4)[P](=O)(OC)OC,1,26.412,0.5,0.2,10.1021/acs.orglett.0c02487,IC
5621,2915,CCOC(=O)c1ccc(cc1)C2=Cc3ccccc3[C@H](N2c4ccccc4)C(=[N+]=[N-])[P](=O)(OC)OC,1,30.9,0.5,0.3,10.1021/acs.orglett.1c02433,IC
5623,2916,CC1=C(C(=O)c2ccc(cc2)C(C)(C)C)[C@]3(CC(=O)O1)C(=O)N(Cc4ccccc4)c5ccccc35,1,30.9,1,0.35,10.1039/C8RA02009D,IC
5625,2917,C[S](=O)(=O)C[C@H](O)c1ccccc1,1,30.9,1,0.2,10.1039/c8ob02923g,OJH
5627,2918,FC(F)(F)c1cc(NC(=O)N2CC3(CCCC3)C[C@]2(CN4CCOCC4)c5ccccc5)cc(c1)C(F)(F)F,1,30.97,0.3,0.03,10.1016/j.chempr.2017.10.008,AD3
5630,2920,C[C@H](C#CCn1c2ccccc2c3ccccc13)c4cncc(Br)c4,1,31.05,0.6,0.05,10.1038/s41557/019/0346/2,ID
5632,2921,O=C(C[C@H]1CCOc2ccccc12)Nc3ccccc3,1,31.1,1,0.1,10.1021/acs.orglett.0c03775,ODH
5634,2922,Cc1ccc(cc1)[C@H]2NC(=O)c3ccccc3c4ccc(F)cc24,1,31.1,0.8,0.2,10.1021/acs.orglett.0c02282,AD3
5636,2923,N[C@H](c1cccnc1)c2ccccc2O,1,31.2,0.7,0.3,10.1002/anie.201915459,OD3
5638,2924,CC(=O)N1C[C@H](CC1=O)c2ccccc2,1,31.3,0.5,0.05,10.1021/acscatal.9b02667,ADH
5641,2926,CC(C)=C[C@H](c1ccc(cc1)C(F)(F)F)[S](=O)(=O)c2ccc(C)cc2,1,23.5,1,0.05,10.1002/anie.201804891,ASH
5643,2927,Cc1ccc(cc1)[C@H]2CO[S](=O)(=O)N2,1,24.8,1,0.2,10.1016/j.isci.2019.07.004,OJH
5645,2928,O[C@H](C[S](=O)(=O)c1ccccc1)c2ccccc2F,1,25.3,1,0.2,10.1039/c8ob02923g,OJH
5649,2930,Clc1ccc(/C=C/[C@H](OCc2ccccc2)c3ccc(Cl)cc3)cc1,1,31.485,1,0.02,10.1039/C4CC03920C,OJH
5650,2931,CC1(C)CN(C(=O)Nc2cccc(c2)C(F)(F)F)[C@](Cc3ccc(cc3)[S](C)(=O)=O)(C1)c4ccccc4,1,22.2,0.7,0.2,10.6023/A18100413,IF
5652,2932,CCOC(=O)C[C@H]1Nc2cc(Cl)ccc2OC1=O,1,36.2,1,0.03,10.1039/c9ra02694k,ADH
5655,2933,CC(C)(NC(=O)C[C@H]1CCOc2ccc(F)cc12)c3ccccn3,1,31.6,0.65,0.05,10.1021/acs.orglett.0c03775,ODH
5656,2934,O[C@H](C[S](=O)(=O)c1ccccc1)c2ccccc2,1,33.6,1,0.2,10.1039/c8ob02923g,OJH
5659,2935,OCC[C@H](C[N+]([O-])=O)c1cccc2ccccc12,1,31.66,1,0.15,10.1002/adsc.201500582,ODH
5661,2936,CO[P](=O)(OC)C1=NNC(C#N)(C#N)[C@]12C(=O)Nc3cccc(Cl)c23,1,31.678,0.5,0.2,10.1021/acs.orglett.5b00311,IC
5662,2937,CCc1nc(N)nc(N)c1C#C[C@H](C)c2cc(OC)cc(c2)c3ccc(cc3)C(=O)OC,1,45.12,0.7,0.4,10.1038/s41557/019/0346/2,IA
5664,2938,C[C@]1(CC=C(COC1=O)c2ccccc2)c3ccccc3,1,35.79,1,0.1,10.1021/jacs.8b12095,AS
5667,2939,CC(=O)C[C@H](c1ccccc1)c2cn(c3ccc(C)cc23)[S](=O)(=O)C(F)(F)F,1,31.8,0.5,0.02,10.1021/acs.orglett.8b00169,ADH
5669,2940,O[C@H]1CCCc2sccc12,1,31.8,1,0.01,10.1002/adsc.201800839,OJH
5671,2941,C[Si](C)(C)[Si](C[C@]1(N(Cc2ccccc12)C(=O)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4)([Si](C)(C)C)[Si](C)(C)C,1,31.86,0.15,0.01,10.1007/s11426/019/9528/2,AD3
5675,2943,COc1ccc(cc1OC2CCCC2)[C@H]3CNC(=O)C3,1,31.9,0.7,0.05,10.1021/acscatal.8b00827,ADH
5677,2944,C[S](=O)(=O)C[C@H](O)c1ccc(Cl)cc1,1,31.9,1,0.2,10.1039/c8ob02923g,OJH
5680,2946,CCCCC[C@H](CC(=O)NC(C)(C)c1ccccn1)c2ccc(cc2)C(C)=O,1,32,0.6,0.1,10.1002/anie.201804197,ADH
5681,2947,CCC[C@H](C#C)[C](=[C]=[CH2])C(=O)OCc1ccccc1,1,16,1,0.01,10.1021/jacs.7b08207,OJ
5683,2948,C[C@H](/C=C/c1ccccc1)c2c[nH]c3ccccc23,1,34.85,1,0.2,10.1039/C6QO00227G,OJH
5685,2949,OC[C@H]1COc2cc(F)ccc2O1,1,33.398,1,0.05,10.1039/C8QO00805A,AS
5688,2950,C[S](=O)(=O)c1ccc(C[C@]2(CC3(CCC3)CN2C(=O)Nc4cccc(c4)C(F)(F)F)c5ccccc5)cc1,1,32.1,0.7,0.1,10.6023/A18100413,OD3
5689,2951,CCOC(=O)\C=C\CC1C[C@H](C)N(O1)C(=O)OCc2ccccc2,1,19.1,1,0.05,10.1002/adsc.201501025,AD
5692,2952,COc1ccc(CO[C@H](CC(F)(F)F)NC(=O)c2ccc(OC)cc2)cc1,1,32.1,1,0.05,10.1039/D1SC06613G,IF3
